Id,Display name,Site Handle (visible to searchers in the URL),Site domains,Crawl depth,Search engine,Notes
1527,117th Air Refueling Wing,afpw_117arw,www.117arw.ang.af.mil,Deep,BingV7,
1528,118th Wing,afpw_118aw,www.118wg.ang.af.mil,Deep,BingV7,
1529,"119th Wing, North Dakota Air National Guard",afpw_119wg,www.119wg.ang.af.mil,Deep,BingV7,
1530,120th Airlift Wing,afpw_120fw,www.120thairliftwing.ang.af.mil,Deep,BingV7,
1530,120th Airlift Wing,afpw_120fw,www.120fw.ang.af.mil,Deep,BingV7,
1531,"121st ARW, Ohio Air National Guard",afpw_121arw,www.121arw.ang.af.mil,Deep,BingV7,
1532,"122nd Fighter Wing, Indiana ANG",afpw_122fw,www.122fw.ang.af.mil,Deep,BingV7,
1533,"123rd Airlift Wing, Kentucky ANG",afpw_123aw,www.123aw.ang.af.mil,Deep,BingV7,
1535,"126th Air Refueling Wing, Illinois Air National Guard",afpw_126arw,www.126arw.ang.af.mil,Deep,BingV7,
1536,"127th Wing, Michigan Air National Guard",afpw_127wg,www.127wg.ang.af.mil,Deep,BingV7,
1537,"128th Air Refueling Wing, Wisconsin ANG",afpw_128arw,www.128arw.ang.af.mil,Deep,BingV7,
1538,"129th Rescue Wing, California ANG",afpw_129rqw,www.129rqw.ang.af.mil,Deep,BingV7,
1539,"130th Airlift Wing, West Virginia Air National Guard",afpw_130aw,www.130aw.ang.af.mil,Deep,BingV7,
1540,"131st Bomb Wing, Missouri ANG",afpw_131bw,www.131bw.ang.af.mil,Deep,BingV7,
1541,"132nd Wing, Iowa ANG",afpw_132fw,www.132fw.ang.af.mil,Deep,BingV7,
1541,"132nd Wing, Iowa ANG",afpw_132fw,www.132dwing.ang.af.mil,Deep,BingV7,
1542,"133rd Airlift Wing, Minnesota Air National Guard",afpw_133aw,www.133aw.ang.af.mil,Deep,BingV7,
1501,Air Force Audit Agency,afaa,www.afaa.af.mil,Deep,BingV7,
1502,Air Force Agency for Modeling and Simulation,afams,www.afams.af.mil,Deep,BingV7,
1503,Air Force Basic Military Training,afbmt,www.basictraining.af.mil,Deep,BingV7,
1505,Air Force District of Washington,afdw,www.afdw.af.mil,Deep,BingV7,
1506,25th Air Force,afisra,25af.af.mil,Deep,BingV7,
1509,Air Force Materiel Command,afmc,www.afmc.af.mil,Deep,BingV7,
1510,Office of Special Investigations,afosi,www.osi.af.mil,Deep,BingV7,
1510,Office of Special Investigations,afosi,osi.andrews.af.mil,Deep,BingV7,
1511,Air Force Operational Test and Evaluation Center,afotec,www.afotec.af.mil,Deep,BingV7,
1512,Air Force Outreach,afoutreach,www.afoutreach.af.mil,Deep,BingV7,
